Localidade de aplicação do recurso;Ano da Emenda;Tipo de Emenda;Autor da Emenda;Número da Emenda;Código da Emenda;Favorecido;UF DO FAVORECIDO;MUNICÍPIO DO FAVORECIDO;UG;Órgão;Órgão Superior;Grupo de Despesa;Elemento de Despesa;Modalidade de Despesa;Plano Orçamentário;Programa Orçamentário;Ação Orçamentária;Subtítulo (Localizador);Função (Área de Atuação);Subfunção (Especificação da Área de Atuação);Possui Convênio?;Valor Empenhado;Valor Pago;Parlamentar_Limpo;codigo_ibge_mapa;codigo_ibge_ips;faixa_prioridade;QT_VOTOS;municipio;municipio_normalizado;tipo_destinacao;idhm;ivs;deficit_idhm;ips_prioridade;tipo_registro;fonte_territorializacao;status_reconciliacao;linhas_pagamento;codigos_distintos;parlamentares_distintos;observacao_metodologica
CARAÁ - RS;2025;Pagamento detalhado municipalizado;HEITOR SCHUCH;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;CARAÁ;;;;;;;;;;;;;;0.0;396000.0;HEITOR SCHUCH;4304713;4304713;Alta Prioridade;143.0;CARAÁ;CARAA;Municipal;0.652;0.244;0.348;0.296;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SINIMBU - RS;2025;Pagamento detalhado municipalizado;LUCAS REDECKER;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;SINIMBU;;;;;;;;;;;;;;0.0;396000.0;LUCAS REDECKER;4320677;4320677;Alta Prioridade;7.0;SINIMBU;SINIMBU;Municipal;0.631;0.268;0.369;0.3185;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SOLEDADE - RS;2025;Pagamento detalhado municipalizado;LUIZ CARLOS BUSATO;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;SOLEDADE;;;;;;;;;;;;;;0.0;396000.0;LUIZ CARLOS BUSATO;4320800;4320800;Média Prioridade;260.0;SOLEDADE;SOLEDADE;Municipal;0.731;0.228;0.269;0.2485;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
CAÇAPAVA DO SUL - RS;2025;Pagamento detalhado municipalizado;HEITOR SCHUCH;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;CAÇAPAVA DO SUL;;;;;;;;;;;;;;0.0;396000.0;HEITOR SCHUCH;4302808;4302808;Média Prioridade;481.0;CAÇAPAVA DO SUL;CACAPAVA DO SUL;Municipal;0.704;0.212;0.296;0.254;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
VESPASIANO CORREA - RS;2025;Pagamento detalhado municipalizado;MARCEL VAN HATTEM;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;VESPASIANO CORREA;;;;;;;;;;;;;;0.0;396000.0;MARCEL VAN HATTEM;4322855;4322855;Baixa Prioridade;20.0;VESPASIANO CORREA;VESPASIANO CORREA;Municipal;0.723;0.151;0.277;0.214;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
VERANÓPOLIS - RS;2025;Pagamento detalhado municipalizado;ZUCCO;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;VERANÓPOLIS;;;;;;;;;;;;;;0.0;396000.0;ZUCCO;4322806;4322806;Baixa Prioridade;365.0;VERANÓPOLIS;VERANOPOLIS;Municipal;0.773;0.119;0.2269999999999999;0.173;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
VERANÓPOLIS - RS;2025;Pagamento detalhado municipalizado;ANY ORTIZ;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;VERANÓPOLIS;;;;;;;;;;;;;;0.0;396000.0;ANY ORTIZ;4322806;4322806;Baixa Prioridade;111.0;VERANÓPOLIS;VERANOPOLIS;Municipal;0.773;0.119;0.2269999999999999;0.173;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
BALNEÁRIO PINHAL - RS;2025;Pagamento detalhado municipalizado;LUIZ CARLOS BUSATO;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;BALNEÁRIO PINHAL;;;;;;;;;;;;;;0.0;396000.0;LUIZ CARLOS BUSATO;4301636;4301636;Média Prioridade;312.0;BALNEÁRIO PINHAL;BALNEARIO PINHAL;Municipal;0.696;0.239;0.304;0.2715;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SÃO MARTINHO - RS;2025;Pagamento detalhado municipalizado;DANRLEI DE DEUS HINTERHOLZ;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;SÃO MARTINHO;;;;;;;;;;;;;;0.0;396000.0;DANRLEI DE DEUS HINTERHOLZ;4319109;4319109;Média Prioridade;48.0;SÃO MARTINHO;SAO MARTINHO;Municipal;0.726;0.2;0.274;0.237;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
ARATIBA - RS;2025;Pagamento detalhado municipalizado;DANRLEI DE DEUS HINTERHOLZ;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;ARATIBA;;;;;;;;;;;;;;0.0;396000.0;DANRLEI DE DEUS HINTERHOLZ;4300901;4300901;Média Prioridade;438.0;ARATIBA;ARATIBA;Municipal;0.772;0.29;0.2279999999999999;0.259;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
CAIÇARA - RS;2025;Pagamento detalhado municipalizado;LUIZ CARLOS BUSATO;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;CAIÇARA;;;;;;;;;;;;;;0.0;396000.0;LUIZ CARLOS BUSATO;4303400;4303400;Média Prioridade;37.0;CAIÇARA;CAICARA;Municipal;0.699;0.24;0.301;0.2705;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
CAMAQUÃ - RS;2025;Pagamento detalhado municipalizado;HEITOR SCHUCH;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;CAMAQUÃ;;;;;;;;;;;;;;0.0;396000.0;HEITOR SCHUCH;4303509;4303509;Média Prioridade;585.0;CAMAQUÃ;CAMAQUA;Municipal;0.697;0.226;0.303;0.2645;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SÃO LUIZ GONZAGA - RS;2025;Pagamento detalhado municipalizado;POMPEO DE MATTOS;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;SÃO LUIZ GONZAGA;;;;;;;;;;;;;;0.0;396000.0;POMPEO DE MATTOS;4318903;4318903;Média Prioridade;856.0;SÃO LUIZ GONZAGA;SAO LUIZ GONZAGA;Municipal;0.741;0.24;0.259;0.2495;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
CANGUÇU - RS;2025;Pagamento detalhado municipalizado;LUCAS REDECKER;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;CANGUÇU;;;;;;;;;;;;;;0.0;396000.0;LUCAS REDECKER;4304507;4304507;Alta Prioridade;1295.0;CANGUÇU;CANGUCU;Municipal;0.65;0.25;0.35;0.3;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
VANINI - RS;2025;Pagamento detalhado municipalizado;HEITOR SCHUCH;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;VANINI;;;;;;;;;;;;;;0.0;396000.0;HEITOR SCHUCH;4322558;4322558;Baixa Prioridade;184.0;VANINI;VANINI;Municipal;0.757;0.153;0.243;0.198;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SEBERI - RS;2025;Pagamento detalhado municipalizado;LUIZ CARLOS BUSATO;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;SEBERI;;;;;;;;;;;;;;0.0;396000.0;LUIZ CARLOS BUSATO;4320206;4320206;Média Prioridade;36.0;SEBERI;SEBERI;Municipal;0.723;0.242;0.277;0.2595;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
VALE REAL - RS;2025;Pagamento detalhado municipalizado;MAURICIO MARCON;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;VALE REAL;;;;;;;;;;;;;;0.0;396000.0;MAURICIO MARCON;4322541;4322541;Média Prioridade;280.0;VALE REAL;VALE REAL;Municipal;0.737;0.202;0.263;0.2325;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
ALEGRIA - RS;2025;Pagamento detalhado municipalizado;DANRLEI DE DEUS HINTERHOLZ;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;ALEGRIA;;;;;;;;;;;;;;0.0;396000.0;DANRLEI DE DEUS HINTERHOLZ;4300455;4300455;Alta Prioridade;23.0;ALEGRIA;ALEGRIA;Municipal;0.695;0.254;0.305;0.2795;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
CERRO GRANDE - RS;2025;Pagamento detalhado municipalizado;LUIZ CARLOS BUSATO;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;CERRO GRANDE;;;;;;;;;;;;;;0.0;396000.0;LUIZ CARLOS BUSATO;4305157;4305157;Alta Prioridade;206.0;CERRO GRANDE;CERRO GRANDE;Municipal;0.674;0.324;0.3259999999999999;0.3249999999999999;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
CERRO BRANCO - RS;2025;Pagamento detalhado municipalizado;POMPEO DE MATTOS;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;CERRO BRANCO;;;;;;;;;;;;;;0.0;396000.0;POMPEO DE MATTOS;4305132;4305132;Média Prioridade;195.0;CERRO BRANCO;CERRO BRANCO;Municipal;0.661;0.178;0.3389999999999999;0.2584999999999999;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
TAVARES - RS;2025;Pagamento detalhado municipalizado;ALCEU MOREIRA;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;TAVARES;;;;;;;;;;;;;;0.0;396000.0;ALCEU MOREIRA;4321352;4321352;Alta Prioridade;1325.0;TAVARES;TAVARES;Municipal;0.656;0.253;0.344;0.2985;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
BOA VISTA DO SUL - RS;2025;Pagamento detalhado municipalizado;DANRLEI DE DEUS HINTERHOLZ;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;BOA VISTA DO SUL;;;;;;;;;;;;;;0.0;396000.0;DANRLEI DE DEUS HINTERHOLZ;4302253;4302253;Baixa Prioridade;126.0;BOA VISTA DO SUL;BOA VISTA DO SUL;Municipal;0.728;0.163;0.272;0.2175;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SAPUCAIA DO SUL - RS;2025;Pagamento detalhado municipalizado;HEITOR SCHUCH;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;SAPUCAIA DO SUL;;;;;;;;;;;;;;0.0;396000.0;HEITOR SCHUCH;4320008;4320008;Média Prioridade;222.0;SAPUCAIA DO SUL;SAPUCAIA DO SUL;Municipal;0.726;0.277;0.274;0.2755;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SANTO ÂNGELO - RS;2025;Pagamento detalhado municipalizado;MARCEL VAN HATTEM;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;SANTO ÂNGELO;;;;;;;;;;;;;;0.0;396000.0;MARCEL VAN HATTEM;4317509;4317509;Baixa Prioridade;743.0;SANTO ÂNGELO;SANTO ANGELO;Municipal;0.772;0.154;0.2279999999999999;0.191;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SAPIRANGA - RS;2025;Pagamento detalhado municipalizado;ZUCCO;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;SAPIRANGA;;;;;;;;;;;;;;0.0;396000.0;ZUCCO;4319901;4319901;Média Prioridade;2154.0;SAPIRANGA;SAPIRANGA;Municipal;0.711;0.182;0.289;0.2355;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
PAROBÉ - RS;2025;Pagamento detalhado municipalizado;ALCEU MOREIRA;;Agregado municipal — 2 código(s);Agregado de 1 favorecido(s);RS;PAROBÉ;;;;;;;;;;;;;;0.0;394200.0;ALCEU MOREIRA;4314050;4314050;Média Prioridade;907.0;PAROBÉ;PAROBE;Municipal;0.704;0.187;0.296;0.2415;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
CAPELA DE SANTANA - RS;2025;Pagamento detalhado municipalizado;MAURICIO MARCON;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;CAPELA DE SANTANA;;;;;;;;;;;;;;0.0;387988.0;MAURICIO MARCON;4304689;4304689;Alta Prioridade;44.0;CAPELA DE SANTANA;CAPELA DE SANTANA;Municipal;0.661;0.299;0.3389999999999999;0.3189999999999999;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
NOVA HARTZ - RS;2025;Pagamento detalhado municipalizado;ANY ORTIZ;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;NOVA HARTZ;;;;;;;;;;;;;;0.0;385723.0;ANY ORTIZ;4313060;4313060;Média Prioridade;117.0;NOVA HARTZ;NOVA HARTZ;Municipal;0.689;0.175;0.311;0.243;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
ERECHIM - RS;2025;Pagamento detalhado municipalizado;MARCEL VAN HATTEM;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;ERECHIM;;;;;;;;;;;;;;0.0;384205.0;MARCEL VAN HATTEM;4307005;4307005;Baixa Prioridade;2643.0;ERECHIM;ERECHIM;Municipal;0.776;0.125;0.2239999999999999;0.1745;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SINIMBU - RS;2025;Pagamento detalhado municipalizado;MARCEL VAN HATTEM;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;SINIMBU;;;;;;;;;;;;;;0.0;384205.0;MARCEL VAN HATTEM;4320677;4320677;Alta Prioridade;75.0;SINIMBU;SINIMBU;Municipal;0.631;0.268;0.369;0.3185;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
ESPUMOSO - RS;2025;Pagamento detalhado municipalizado;MARCEL VAN HATTEM;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;ESPUMOSO;;;;;;;;;;;;;;0.0;384205.0;MARCEL VAN HATTEM;4307500;4307500;Baixa Prioridade;254.0;ESPUMOSO;ESPUMOSO;Municipal;0.765;0.198;0.235;0.2165;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
BALNEÁRIO PINHAL - RS;2025;Pagamento detalhado municipalizado;ALCEU MOREIRA;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;BALNEÁRIO PINHAL;;;;;;;;;;;;;;0.0;380000.0;ALCEU MOREIRA;4301636;4301636;Média Prioridade;336.0;BALNEÁRIO PINHAL;BALNEARIO PINHAL;Municipal;0.696;0.239;0.304;0.2715;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
BOM JESUS - RS;2025;Pagamento detalhado municipalizado;ALCEU MOREIRA;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;BOM JESUS;;;;;;;;;;;;;;0.0;380000.0;ALCEU MOREIRA;4302303;4302303;Alta Prioridade;1859.0;BOM JESUS;BOM JESUS;Municipal;0.666;0.317;0.3339999999999999;0.3255;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
VIADUTOS - RS;2025;Pagamento detalhado municipalizado;MAURICIO MARCON;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;VIADUTOS;;;;;;;;;;;;;;0.0;375973.29;MAURICIO MARCON;4322905;4322905;Alta Prioridade;26.0;VIADUTOS;VIADUTOS;Municipal;0.702;0.346;0.298;0.322;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SANTA CRUZ DO SUL - RS;2025;Pagamento detalhado municipalizado;MARCEL VAN HATTEM;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;SANTA CRUZ DO SUL;;;;;;;;;;;;;;0.0;372527.0;MARCEL VAN HATTEM;4316808;4316808;Baixa Prioridade;4216.0;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;Municipal;0.773;0.139;0.2269999999999999;0.183;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;4.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
CANGUÇU - RS;2025;Pagamento detalhado municipalizado;MARCEL VAN HATTEM;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;CANGUÇU;;;;;;;;;;;;;;0.0;361453.0;MARCEL VAN HATTEM;4304507;4304507;Alta Prioridade;297.0;CANGUÇU;CANGUCU;Municipal;0.65;0.25;0.35;0.3;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;3.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
TORRES - RS;2025;Pagamento detalhado municipalizado;POMPEO DE MATTOS;;Agregado municipal — 3 código(s);Agregado de 2 favorecido(s);RS;TORRES;;;;;;;;;;;;;;0.0;359753.0;POMPEO DE MATTOS;4321501;4321501;Baixa Prioridade;376.0;TORRES;TORRES;Municipal;0.762;0.16;0.238;0.199;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;3.0;3.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
PORTO XAVIER - RS;2025;Pagamento detalhado municipalizado;LUCAS REDECKER;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;PORTO XAVIER;;;;;;;;;;;;;;0.0;355486.78;LUCAS REDECKER;4315107;4315107;Média Prioridade;15.0;PORTO XAVIER;PORTO XAVIER;Municipal;0.723;0.216;0.277;0.2465;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
BROCHIER - RS;2025;Pagamento detalhado municipalizado;POMPEO DE MATTOS;;Agregado municipal — 2 código(s);Agregado de 2 favorecido(s);RS;BROCHIER;;;;;;;;;;;;;;0.0;352856.0;POMPEO DE MATTOS;4302659;4302659;Baixa Prioridade;885.0;BROCHIER;BROCHIER;Municipal;0.699;0.151;0.301;0.226;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
CARLOS BARBOSA - RS;2025;Pagamento detalhado municipalizado;FERNANDA MELCHIONNA;;Agregado municipal — 2 código(s);Agregado de 1 favorecido(s);RS;CARLOS BARBOSA;;;;;;;;;;;;;;0.0;350000.0;FERNANDA MELCHIONNA;4304804;4304804;Baixa Prioridade;282.0;CARLOS BARBOSA;CARLOS BARBOSA;Municipal;0.796;0.114;0.2039999999999999;0.1589999999999999;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SERAFINA CORRÊA - RS;2025;Pagamento detalhado municipalizado;MAURICIO MARCON;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;SERAFINA CORRÊA;;;;;;;;;;;;;;0.0;350000.0;MAURICIO MARCON;4320404;4320404;Baixa Prioridade;477.0;SERAFINA CORRÊA;SERAFINA CORREA;Municipal;0.76;0.182;0.24;0.211;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
LAJEADO - RS;2025;Pagamento detalhado municipalizado;DAIANA SANTOS;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;LAJEADO;;;;;;;;;;;;;;0.0;350000.0;DAIANA SANTOS;4311403;4311403;Baixa Prioridade;339.0;LAJEADO;LAJEADO;Municipal;0.778;0.124;0.2219999999999999;0.173;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
CANELA - RS;2025;Pagamento detalhado municipalizado;POMPEO DE MATTOS;;Agregado municipal — 2 código(s);Agregado de 2 favorecido(s);RS;CANELA;;;;;;;;;;;;;;0.0;350000.0;POMPEO DE MATTOS;4304408;4304408;Baixa Prioridade;407.0;CANELA;CANELA;Municipal;0.748;0.181;0.252;0.2165;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
