Localidade de aplicação do recurso;Ano da Emenda;Tipo de Emenda;Autor da Emenda;Número da Emenda;Código da Emenda;Favorecido;UF DO FAVORECIDO;MUNICÍPIO DO FAVORECIDO;UG;Órgão;Órgão Superior;Grupo de Despesa;Elemento de Despesa;Modalidade de Despesa;Plano Orçamentário;Programa Orçamentário;Ação Orçamentária;Subtítulo (Localizador);Função (Área de Atuação);Subfunção (Especificação da Área de Atuação);Possui Convênio?;Valor Empenhado;Valor Pago;Parlamentar_Limpo;codigo_ibge_mapa;codigo_ibge_ips;faixa_prioridade;QT_VOTOS;municipio;municipio_normalizado;tipo_destinacao;idhm;ivs;deficit_idhm;ips_prioridade;tipo_registro;fonte_territorializacao;status_reconciliacao;linhas_pagamento;codigos_distintos;parlamentares_distintos;observacao_metodologica
ALVORADA - RS;2025;Pagamento detalhado municipalizado;ZUCCO;;Agregado municipal — 2 código(s);Agregado de 1 favorecido(s);RS;ALVORADA;;;;;;;;;;;;;;0.0;2000000.0;ZUCCO;4300604;4300604;Alta Prioridade;4552.0;ALVORADA;ALVORADA;Municipal;0.699;0.324;0.301;0.3125;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
PELOTAS - RS;2025;Pagamento detalhado municipalizado;FERNANDA MELCHIONNA;;Agregado municipal — 2 código(s);Agregado de 2 favorecido(s);RS;PELOTAS;;;;;;;;;;;;;;0.0;2000000.0;FERNANDA MELCHIONNA;4314407;4314407;Baixa Prioridade;4332.0;PELOTAS;PELOTAS;Municipal;0.739;0.2;0.261;0.2305;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
URUGUAIANA - RS;2025;Pagamento detalhado municipalizado;FERNANDA MELCHIONNA;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;URUGUAIANA;;;;;;;;;;;;;;0.0;2000000.0;FERNANDA MELCHIONNA;4322400;4322400;Média Prioridade;893.0;URUGUAIANA;URUGUAIANA;Municipal;0.744;0.225;0.256;0.2405;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
PORTO ALEGRE - RS;2025;Pagamento detalhado municipalizado;DAIANA SANTOS;;Agregado municipal — 3 código(s);Agregado de 1 favorecido(s);RS;PORTO ALEGRE;;;;;;;;;;;;;;0.0;1749909.0;DAIANA SANTOS;4314902;4314902;Baixa Prioridade;45887.0;PORTO ALEGRE;PORTO ALEGRE;Municipal;0.805;0.225;0.1949999999999999;0.2099999999999999;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;3.0;3.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SÃO LEOPOLDO - RS;2025;Pagamento detalhado municipalizado;ZUCCO;;Agregado municipal — 2 código(s);Agregado de 1 favorecido(s);RS;SÃO LEOPOLDO;;;;;;;;;;;;;;0.0;1747992.0;ZUCCO;4318705;4318705;Média Prioridade;9527.0;SÃO LEOPOLDO;SAO LEOPOLDO;Municipal;0.739;0.223;0.261;0.242;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;4.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SANTA CRUZ DO SUL - RS;2025;Pagamento detalhado municipalizado;HEITOR SCHUCH;;Agregado municipal — 2 código(s);Agregado de 2 favorecido(s);RS;SANTA CRUZ DO SUL;;;;;;;;;;;;;;0.0;1520725.15;HEITOR SCHUCH;4316808;4316808;Baixa Prioridade;7668.0;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;Municipal;0.773;0.139;0.2269999999999999;0.183;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;3.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
PANAMBI - RS;2025;Pagamento detalhado municipalizado;DANRLEI DE DEUS HINTERHOLZ;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;PANAMBI;;;;;;;;;;;;;;0.0;1500000.0;DANRLEI DE DEUS HINTERHOLZ;4313904;4313904;Baixa Prioridade;1090.0;PANAMBI;PANAMBI;Municipal;0.761;0.155;0.239;0.197;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
VENÂNCIO AIRES - RS;2025;Pagamento detalhado municipalizado;HEITOR SCHUCH;;Agregado municipal — 4 código(s);Agregado de 2 favorecido(s);RS;VENÂNCIO AIRES;;;;;;;;;;;;;;0.0;1491000.0;HEITOR SCHUCH;4322608;4322608;Baixa Prioridade;9067.0;VENÂNCIO AIRES;VENANCIO AIRES;Municipal;0.712;0.169;0.288;0.2285;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;4.0;4.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SAPUCAIA DO SUL - RS;2025;Pagamento detalhado municipalizado;ANY ORTIZ;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;SAPUCAIA DO SUL;;;;;;;;;;;;;;0.0;1485000.0;ANY ORTIZ;4320008;4320008;Média Prioridade;1476.0;SAPUCAIA DO SUL;SAPUCAIA DO SUL;Municipal;0.726;0.277;0.274;0.2755;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SÃO GABRIEL - RS;2025;Pagamento detalhado municipalizado;DANRLEI DE DEUS HINTERHOLZ;;Agregado municipal — 2 código(s);Agregado de 2 favorecido(s);RS;SÃO GABRIEL;;;;;;;;;;;;;;0.0;1416000.0;DANRLEI DE DEUS HINTERHOLZ;4318309;4318309;Média Prioridade;754.0;SÃO GABRIEL;SAO GABRIEL;Municipal;0.699;0.253;0.301;0.277;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
